bank_txn_id,utr_number,amount,transaction_date,value_date,description,bank_reference,settlement_reference,transaction_type,balance,ground_truth_settlement_id,ground_truth_scenario
BNK-2026-0001,UTR908053162473,11000.0,2026-03-09,2026-03-09,NEFT PayU SETTLEMENT INV-2026-0001,UTR908053162473,SET-2026-0001,credit,,SET-2026-0001,exact_match
BNK-2026-0002,UTR763595448017,12500.0,2026-01-08,2026-01-08,NEFT PayU SETTLEMENT INV-2026-0002,UTR763595448017,SET-2026-0002,credit,,SET-2026-0002,exact_match
BNK-2026-0003,UTR407473554860,144500.0,2026-04-09,2026-04-09,NEFT Paytm SETTLEMENT INV-2026-0003,UTR407473554860,SET-2026-0003,credit,,SET-2026-0003,exact_match
BNK-2026-0004,UTR199223237613,76000.0,2026-02-09,2026-02-09,NEFT Cashfree SETTLEMENT INV-2026-0004,UTR199223237613,SET-2026-0004,credit,,SET-2026-0004,exact_match
BNK-2026-0005,UTR605645347792,585000.0,2026-03-29,2026-03-29,NEFT Razorpay SETTLEMENT INV-2026-0005,UTR605645347792,SET-2026-0005,credit,,SET-2026-0005,exact_match
BNK-2026-0006,UTR176040557040,80000.0,2026-03-20,2026-03-20,NEFT PayU SETTLEMENT INV-2026-0006,UTR176040557040,SET-2026-0006,credit,,SET-2026-0006,exact_match
BNK-2026-0007,UTR797732084371,1090000.0,2026-01-15,2026-01-15,NEFT Cashfree SETTLEMENT INV-2026-0007,UTR797732084371,SET-2026-0007,credit,,SET-2026-0007,exact_match
BNK-2026-0008,UTR798400899699,176500.0,2026-03-24,2026-03-24,NEFT Razorpay SETTLEMENT INV-2026-0008,UTR798400899699,SET-2026-0008,credit,,SET-2026-0008,exact_match
BNK-2026-0009,UTR945433611429,74000.0,2026-02-23,2026-02-23,NEFT Cashfree SETTLEMENT INV-2026-0009,UTR945433611429,SET-2026-0009,credit,,SET-2026-0009,exact_match
BNK-2026-0010,UTR446680801999,455000.0,2026-03-05,2026-03-05,NEFT PayU SETTLEMENT INV-2026-0010,UTR446680801999,SET-2026-0010,credit,,SET-2026-0010,exact_match
BNK-2026-0011,UTR371182647325,610000.0,2026-04-09,2026-04-09,NEFT Cashfree SETTLEMENT INV-2026-0011,UTR371182647325,SET-2026-0011,credit,,SET-2026-0011,exact_match
BNK-2026-0012,UTR658939878788,154000.0,2026-04-14,2026-04-14,NEFT PayU SETTLEMENT INV-2026-0012,UTR658939878788,SET-2026-0012,credit,,SET-2026-0012,exact_match
BNK-2026-0013,UTR171281034036,297500.0,2026-03-01,2026-03-01,NEFT Paytm SETTLEMENT INV-2026-0013,UTR171281034036,SET-2026-0013,credit,,SET-2026-0013,exact_match
BNK-2026-0014,UTR893195777447,1470000.0,2026-03-20,2026-03-20,NEFT Razorpay SETTLEMENT INV-2026-0014,UTR893195777447,SET-2026-0014,credit,,SET-2026-0014,exact_match
BNK-2026-0015,UTR390853813771,80000.0,2026-04-09,2026-04-09,NEFT Paytm SETTLEMENT INV-2026-0015,UTR390853813771,SET-2026-0015,credit,,SET-2026-0015,exact_match
BNK-2026-0016,UTR317363871943,755000.0,2026-03-29,2026-03-29,NEFT CCAvenue SETTLEMENT INV-2026-0016,UTR317363871943,SET-2026-0016,credit,,SET-2026-0016,exact_match
