invoice_id,settlement_id,bank_txn_id,scenario,expected_status
INV-2026-0001,SET-2026-0001,BNK-2026-0001,exact_match,Exact Match
INV-2026-0002,SET-2026-0002,BNK-2026-0002,exact_match,Exact Match
INV-2026-0003,SET-2026-0003,BNK-2026-0003,exact_match,Exact Match
INV-2026-0004,SET-2026-0004,BNK-2026-0004,exact_match,Exact Match
INV-2026-0005,SET-2026-0005,BNK-2026-0005,exact_match,Exact Match
INV-2026-0006,SET-2026-0006,BNK-2026-0006,exact_match,Exact Match
INV-2026-0007,SET-2026-0007,BNK-2026-0007,exact_match,Exact Match
INV-2026-0008,SET-2026-0008,BNK-2026-0008,exact_match,Exact Match
INV-2026-0009,SET-2026-0009,BNK-2026-0009,exact_match,Exact Match
INV-2026-0010,SET-2026-0010,BNK-2026-0010,exact_match,Exact Match
INV-2026-0011,SET-2026-0011,BNK-2026-0011,exact_match,Exact Match
INV-2026-0012,SET-2026-0012,BNK-2026-0012,exact_match,Exact Match
INV-2026-0013,SET-2026-0013,BNK-2026-0013,exact_match,Exact Match
INV-2026-0014,SET-2026-0014,BNK-2026-0014,exact_match,Exact Match
INV-2026-0015,SET-2026-0015,BNK-2026-0015,exact_match,Exact Match
INV-2026-0016,SET-2026-0016,BNK-2026-0016,exact_match,Exact Match
INV-2026-0017,SET-2026-0017,BNK-2026-0017,exact_match,Exact Match
INV-2026-0018,SET-2026-0018,BNK-2026-0018,exact_match,Exact Match
INV-2026-0019,SET-2026-0019,BNK-2026-0019,exact_match,Exact Match
INV-2026-0020,SET-2026-0020,BNK-2026-0020,exact_match,Exact Match
INV-2026-0021,SET-2026-0021,BNK-2026-0021,exact_match,Exact Match
INV-2026-0022,SET-2026-0022,BNK-2026-0022,exact_match,Exact Match
INV-2026-0023,SET-2026-0023,BNK-2026-0023,exact_match,Exact Match
INV-2026-0024,SET-2026-0024,BNK-2026-0024,exact_match,Exact Match
INV-2026-0025,SET-2026-0025,BNK-2026-0025,exact_match,Exact Match
INV-2026-0026,SET-2026-0026,BNK-2026-0026,exact_match,Exact Match
INV-2026-0027,SET-2026-0027,BNK-2026-0027,exact_match,Exact Match
INV-2026-0028,SET-2026-0028,BNK-2026-0028,exact_match,Exact Match
INV-2026-0029,SET-2026-0029,BNK-2026-0029,exact_match,Exact Match
INV-2026-0030,SET-2026-0030,BNK-2026-0030,exact_match,Exact Match
INV-2026-0031,SET-2026-0031,BNK-2026-0031,exact_match,Exact Match
