settlement_id,payment_id,invoice_reference,customer_id,amount,fee,net_amount,payment_date,settlement_date,payment_gateway,utr_number,remarks,ground_truth_invoice_id,ground_truth_scenario
SET-2026-0001,PAY-2026-0001,INV-2026-0001,CUST-BCR-001,11000.0,0.0,11000.0,2026-03-08,2026-03-09,PayU,UTR908053162473,Payment received in full,INV-2026-0001,exact_match
SET-2026-0002,PAY-2026-0002,INV-2026-0002,CUST-NVF-002,12500.0,0.0,12500.0,2026-01-07,2026-01-08,PayU,UTR763595448017,Payment received in full,INV-2026-0002,exact_match
SET-2026-0003,PAY-2026-0003,INV-2026-0003,CUST-AST-003,144500.0,0.0,144500.0,2026-04-08,2026-04-09,Paytm,UTR407473554860,Payment received in full,INV-2026-0003,exact_match
SET-2026-0004,PAY-2026-0004,INV-2026-0004,CUST-URN-004,76000.0,0.0,76000.0,2026-02-08,2026-02-09,Cashfree,UTR199223237613,Payment received in full,INV-2026-0004,exact_match
SET-2026-0005,PAY-2026-0005,INV-2026-0005,CUST-ORB-005,585000.0,0.0,585000.0,2026-03-28,2026-03-29,Razorpay,UTR605645347792,Payment received in full,INV-2026-0005,exact_match
SET-2026-0006,PAY-2026-0006,INV-2026-0006,CUST-GLS-006,80000.0,0.0,80000.0,2026-03-19,2026-03-20,PayU,UTR176040557040,Payment received in full,INV-2026-0006,exact_match
SET-2026-0007,PAY-2026-0007,INV-2026-0007,CUST-VTX-007,1090000.0,0.0,1090000.0,2026-01-14,2026-01-15,Cashfree,UTR797732084371,Payment received in full,INV-2026-0007,exact_match
SET-2026-0008,PAY-2026-0008,INV-2026-0008,CUST-PXW-008,176500.0,0.0,176500.0,2026-03-23,2026-03-24,Razorpay,UTR798400899699,Payment received in full,INV-2026-0008,exact_match
SET-2026-0009,PAY-2026-0009,INV-2026-0009,CUST-NST-009,74000.0,0.0,74000.0,2026-02-22,2026-02-23,Cashfree,UTR945433611429,Payment received in full,INV-2026-0009,exact_match
SET-2026-0010,PAY-2026-0010,INV-2026-0010,CUST-BPT-010,455000.0,0.0,455000.0,2026-03-03,2026-03-05,PayU,UTR446680801999,Payment received in full,INV-2026-0010,exact_match
SET-2026-0011,PAY-2026-0011,INV-2026-0011,CUST-ZNL-011,610000.0,0.0,610000.0,2026-04-07,2026-04-09,Cashfree,UTR371182647325,Payment received in full,INV-2026-0011,exact_match
SET-2026-0012,PAY-2026-0012,INV-2026-0012,CUST-CPS-012,154000.0,0.0,154000.0,2026-04-13,2026-04-14,PayU,UTR658939878788,Payment received in full,INV-2026-0012,exact_match
SET-2026-0013,PAY-2026-0013,INV-2026-0013,CUST-QEL-013,297500.0,0.0,297500.0,2026-02-27,2026-03-01,Paytm,UTR171281034036,Payment received in full,INV-2026-0013,exact_match
SET-2026-0014,PAY-2026-0014,INV-2026-0014,CUST-PRO-014,1470000.0,0.0,1470000.0,2026-03-18,2026-03-20,Razorpay,UTR893195777447,Payment received in full,INV-2026-0014,exact_match
SET-2026-0015,PAY-2026-0015,INV-2026-0015,CUST-NXI-015,80000.0,0.0,80000.0,2026-04-08,2026-04-09,Paytm,UTR390853813771,Payment received in full,INV-2026-0015,exact_match
SET-2026-0016,PAY-2026-0016,INV-2026-0016,CUST-AGS-016,755000.0,0.0,755000.0,2026-03-27,2026-03-29,CCAvenue,UTR317363871943,Payment received in full,INV-2026-0016,exact_match
SET-2026-0017,PAY-2026-0017,INV-2026-0017,CUST-SLX-017,140500.0,0.0,140500.0,2026-01-20,2026-01-22,Cashfree,UTR119278414725,Payment received in full,INV-2026-0017,exact_match
SET-2026-0018,PAY-2026-0018,INV-2026-0018,CUST-HML-018,66500.0,0.0,66500.0,2026-01-05,2026-01-06,Paytm,UTR176519237216,Payment received in full,INV-2026-0018,exact_match
SET-2026-0019,PAY-2026-0019,INV-2026-0019,CUST-BBT-019,145500.0,0.0,145500.0,2026-02-10,2026-02-11,CCAvenue,UTR769467002266,Payment received in full,INV-2026-0019,exact_match
SET-2026-0020,PAY-2026-0020,INV-2026-0020,CUST-SYW-020,640000.0,0.0,640000.0,2026-02-24,2026-02-26,Cashfree,UTR815849444665,Payment received in full,INV-2026-0020,exact_match
SET-2026-0021,PAY-2026-0021,INV-2026-0021,CUST-ICW-021,68000.0,0.0,68000.0,2026-02-05,2026-02-06,Cashfree,UTR744335435865,Payment received in full,INV-2026-0021,exact_match
SET-2026-0022,PAY-2026-0022,INV-2026-0022,CUST-VGS-022,23000.0,0.0,23000.0,2026-01-09,2026-01-10,Razorpay,UTR138248487718,Payment received in full,INV-2026-0022,exact_match
SET-2026-0023,PAY-2026-0023,INV-2026-0023,CUST-PNP-023,176000.0,0.0,176000.0,2026-04-09,2026-04-11,CCAvenue,UTR895137224815,Payment received in full,INV-2026-0023,exact_match
SET-2026-0024,PAY-2026-0024,INV-2026-0024,CUST-AMT-024,715000.0,0.0,715000.0,2026-04-08,2026-04-10,Razorpay,UTR821970820395,Payment received in full,INV-2026-0024,exact_match
SET-2026-0025,PAY-2026-0025,INV-2026-0025,CUST-BCR-001,191500.0,0.0,191500.0,2026-01-24,2026-01-26,Razorpay,UTR542641960943,Payment received in full,INV-2026-0025,exact_match
SET-2026-0026,PAY-2026-0026,INV-2026-0026,CUST-NVF-002,53500.0,0.0,53500.0,2026-04-06,2026-04-07,Paytm,UTR405730753142,Payment received in full,INV-2026-0026,exact_match
SET-2026-0027,PAY-2026-0027,INV-2026-0027,CUST-AST-003,145500.0,0.0,145500.0,2026-01-02,2026-01-03,CCAvenue,UTR116475613040,Payment received in full,INV-2026-0027,exact_match
SET-2026-0028,PAY-2026-0028,INV-2026-0028,CUST-URN-004,128000.0,0.0,128000.0,2026-02-28,2026-03-02,Paytm,UTR168300472052,Payment received in full,INV-2026-0028,exact_match
SET-2026-0029,PAY-2026-0029,INV-2026-0029,CUST-ORB-005,1130000.0,0.0,1130000.0,2026-04-12,2026-04-14,Paytm,UTR713249868174,Payment received in full,INV-2026-0029,exact_match
SET-2026-0030,PAY-2026-0030,INV-2026-0030,CUST-GLS-006,60500.0,0.0,60500.0,2026-01-20,2026-01-21,CCAvenue,UTR920600564299,Payment received in full,INV-2026-0030,exact_match
SET-2026-0031,PAY-2026-0031,INV-2026-0031,CUST-VTX-007,133500.0,0.0,133500.0,2026-02-04,2026-02-05,CCAvenue,UTR173812556182,Payment received in full,INV-2026-0031,exact_match
SET-2026-0032,PAY-2026-0032,INV-2026-0032,CUST-PXW-008,457500.0,0.0,457500.0,2026-01-19,2026-01-20,PayU,UTR755321467395,Payment received in full,INV-2026-0032,exact_match
SET-2026-0033,PAY-2026-0033,INV-2026-0033,CUST-NST-009,149500.0,0.0,149500.0,2026-03-10,2026-03-11,PayU,UTR888855466331,Payment received in full,INV-2026-0033,exact_match
SET-2026-0034,PAY-2026-0034,INV-2026-0034,CUST-BPT-010,176500.0,0.0,176500.0,2026-03-15,2026-03-16,Cashfree,UTR928623824187,Payment received in full,INV-2026-0034,exact_match
SET-2026-0035,PAY-2026-0035,INV-2026-0035,CUST-ZNL-011,149000.0,0.0,149000.0,2026-01-04,2026-01-05,CCAvenue,UTR654966271979,Payment received in full,INV-2026-0035,exact_match
SET-2026-0036,PAY-2026-0036,INV-2026-0036,CUST-CPS-012,762500.0,0.0,762500.0,2026-02-14,2026-02-16,Cashfree,UTR581713854648,Payment received in full,INV-2026-0036,exact_match
SET-2026-0037,PAY-2026-0037,INV-2026-0037,CUST-QEL-013,1470000.0,0.0,1470000.0,2026-01-22,2026-01-24,CCAvenue,UTR214518382535,Payment received in full,INV-2026-0037,exact_match
SET-2026-0038,PAY-2026-0038,INV-2026-0038,CUST-PRO-014,675000.0,0.0,675000.0,2026-02-11,2026-02-13,Cashfree,UTR330230991019,Payment received in full,INV-2026-0038,exact_match
SET-2026-0039,PAY-2026-0039,INV-2026-0039,CUST-NXI-015,72500.0,0.0,72500.0,2026-04-10,2026-04-12,Razorpay,UTR796181120841,Payment received in full,INV-2026-0039,exact_match
SET-2026-0040,PAY-2026-0040,INV-2026-0040,CUST-AGS-016,38000.0,0.0,38000.0,2026-03-07,2026-03-08,Paytm,UTR875463562649,Payment received in full,INV-2026-0040,exact_match
SET-2026-0041,PAY-2026-0041,INV-2026-0041,CUST-SLX-017,181500.0,0.0,181500.0,2026-02-20,2026-02-21,Razorpay,UTR507311484139,Payment received in full,INV-2026-0041,exact_match
SET-2026-0042,PAY-2026-0042,INV-2026-0042,CUST-HML-018,83500.0,0.0,83500.0,2026-03-26,2026-03-27,Razorpay,UTR494702875840,Payment received in full,INV-2026-0042,exact_match
SET-2026-0043,PAY-2026-0043,INV-2026-0043,CUST-BBT-019,148000.0,0.0,148000.0,2026-04-20,2026-04-22,PayU,UTR992493718889,Payment received in full,INV-2026-0043,exact_match
SET-2026-0044,PAY-2026-0044,INV-2026-0044,CUST-SYW-020,90000.0,0.0,90000.0,2026-04-28,2026-04-29,PayU,UTR272944613643,Payment received in full,INV-2026-0044,exact_match
SET-2026-0045,PAY-2026-0045,INV-2026-0045,CUST-ICW-021,747500.0,0.0,747500.0,2026-04-09,2026-04-10,PayU,UTR484229076692,Payment received in full,INV-2026-0045,exact_match
SET-2026-0046,PAY-2026-0046,INV-2026-0046,CUST-VGS-022,54000.0,0.0,54000.0,2026-04-12,2026-04-14,Cashfree,UTR176726811657,Payment received in full,INV-2026-0046,exact_match
SET-2026-0047,PAY-2026-0047,INV-2026-0047,CUST-PNP-023,178500.0,0.0,178500.0,2026-03-03,2026-03-05,Razorpay,UTR294395439052,Payment received in full,INV-2026-0047,exact_match
SET-2026-0048,PAY-2026-0048,INV-2026-0048,CUST-AMT-024,116000.0,0.0,116000.0,2026-03-26,2026-03-27,Cashfree,UTR767594228337,Payment received in full,INV-2026-0048,exact_match
SET-2026-0049,PAY-2026-0049,INV-2026-0049,CUST-BCR-001,320000.0,0.0,320000.0,2026-03-04,2026-03-05,Paytm,UTR671237914339,Payment received in full,INV-2026-0049,exact_match
SET-2026-0050,PAY-2026-0050,INV-2026-0050,CUST-NVF-002,175000.0,0.0,175000.0,2026-03-21,2026-03-23,Cashfree,UTR890809244118,Payment received in full,INV-2026-0050,exact_match
SET-2026-0051,PAY-2026-0051,INV-2026-0051,CUST-AST-003,108000.0,0.0,108000.0,2026-03-20,2026-03-22,PayU,UTR560385447606,Payment received in full,INV-2026-0051,exact_match
SET-2026-0052,PAY-2026-0052,INV-2026-0052,CUST-URN-004,49500.0,0.0,49500.0,2026-03-14,2026-03-16,CCAvenue,UTR103580822352,Payment received in full,INV-2026-0052,exact_match
SET-2026-0053,PAY-2026-0053,INV-2026-0053,CUST-ORB-005,153000.0,0.0,153000.0,2026-03-15,2026-03-17,Paytm,UTR840633436777,Payment received in full,INV-2026-0053,exact_match
SET-2026-0054,PAY-2026-0054,INV-2026-0054,CUST-GLS-006,26500.0,0.0,26500.0,2026-03-17,2026-03-19,CCAvenue,UTR200223870427,Payment received in full,INV-2026-0054,exact_match
SET-2026-0055,PAY-2026-0055,INV-2026-0055,CUST-VTX-007,292500.0,0.0,292500.0,2026-01-04,2026-01-05,PayU,UTR623917015844,Payment received in full,INV-2026-0055,exact_match
SET-2026-0056,PAY-2026-0056,INV-2026-0056,CUST-PXW-008,166000.0,0.0,166000.0,2026-02-23,2026-02-24,Paytm,UTR540209997973,Payment received in full,INV-2026-0056,exact_match
SET-2026-0057,PAY-2026-0057,INV-2026-0057,CUST-NST-009,197000.0,0.0,197000.0,2026-01-27,2026-01-29,Paytm,UTR294213443847,Payment received in full,INV-2026-0057,exact_match
SET-2026-0058,PAY-2026-0058,INV-2026-0058,CUST-BPT-010,36000.0,0.0,36000.0,2026-04-07,2026-04-09,Paytm,UTR682687809473,Payment received in full,INV-2026-0058,exact_match
SET-2026-0059,PAY-2026-0059,INV-2026-0059,CUST-ZNL-011,189000.0,0.0,189000.0,2026-04-28,2026-04-30,CCAvenue,UTR916727364232,Payment received in full,INV-2026-0059,exact_match
SET-2026-0060,PAY-2026-0060,INV-2026-0060,CUST-CPS-012,737500.0,0.0,737500.0,2026-03-25,2026-03-27,CCAvenue,UTR789276095704,Payment received in full,INV-2026-0060,exact_match
